,id,Type,Region,tags.generator:method,tags.generator:source,tags.power,power_output_MW,tags.generator:type,tags.location,tags.frequency,other_tags,geometry,Country
984,9153574138,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49282289999996 19.397918800000106),MM
985,9153574139,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.492636 19.397682300000106),MM
986,9153574140,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49248019999996 19.397485200000105),MM
987,9153574141,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49269829999996 19.397761100000103),MM
988,9153574142,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49276059999995 19.3978400000001),MM
989,9153574143,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49288529999995 19.3979977000001),MM
990,9153574144,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49285409999996 19.397958300000102),MM
991,9153574145,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49260479999997 19.3976429000001),MM
992,9153574146,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49266709999996 19.3977217000001),MM
993,9153574147,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49272949999997 19.3978006000001),MM
994,9153574148,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49251139999997 19.3975246000001),MM
995,9153574149,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49277849999997 19.3973970000001),MM
996,9153574150,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49302779999996 19.397712400000103),MM
997,9153574151,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49315239999997 19.3978701000001),MM
998,9153574152,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49280969999997 19.3974365000001),MM
999,9153574153,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.493059 19.397751900000102),MM
1000,9153574154,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.492872 19.3975153000001),MM
1001,9153574155,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49271619999996 19.3973182000001),MM
1002,9153574156,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49293429999996 19.3975942000001),MM
1003,9153574157,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49299669999996 19.3976730000001),MM
1004,9153574158,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49312129999997 19.3978307000001),MM
1005,9153574159,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49309009999997 19.3977913000001),MM
1006,9153574160,node,MM,combustion,gas,generator,2.0,reciprocating_engine,NULL,NULL,NULL,POINT (93.49284089999998 19.3974759000001),MM
